en,ru
57-verified-by-contract,51-proverennye-po-kontraktu
59-pitfalls-in-the-biography,50-podvodnye-kamni-v-biografii
83-the-babysitter-is-crazy,49-nyanya-psikh
82-without-hope-of-finding-an-expensive-car,48-bez-nadezhdy-na-poiski-dorogogo-avtomobilya
81-the-twins-reunion,47-vossoedinenie-bliznetsov
80-love-by-correspondence,44-lyubov-po-perepiske
79-unusual-betrayal,43-neobychnaya-izmena
78-betrayal-of-a-business-partner,42-predatelstvo-biznes-partnjora
77-concealment-of-property-in-case-of-divorce,41-sokrytie-imushchestva-pri-razvode
76-multimillion-dollar-contract-under-threat,40-mnogomillionnyj-kontrakt-pod-ugrozoj
75-the-malicious-defaulter-of-alimony,39-zlostnyj-neplatelshchik-alimentov
74-missing-daughter,38-propavshaya-doch
73-adultery,37-supruzheskaya-izmena
72-teen-in-danger-in-bad-company,36-podrostok-v-opasnosti-v-durnoj-kompanii
71-the-scammer-the-razluchnitsa,35-aferistka-razluchnitsa
69-investigation-of-the-disappearance-of-revenue,33-rassledovanie-ischeznoveniya-vyruchki
70-checking-for-the-fact-of-treason-or-its-absence,32-proverka-na-fakt-izmeny-ili-ee-otsutstvie
68-search-for-relatives-in-the-cis,31-poisk-rodstvennikov-v-sng
67-finding-a-stepbrother-30-years-later,30-poisk-svodnogo-brata-30-let-spustya
66-the-search-for-a-biological-mother-by-a-daughter-40-years-later,29-poisk-materi-docheryu-40-let-spustya
65-why-contact-a-private-detective-agency,27-agentstvo-chastnyj-detektiv-zachem-obrashchatsya-k-spetsialistam
64-private-search-for-people-missing-relatives-old-friends-acquaintances,23-chastnyj-poisk-lyudej-propavshikh-rodstvennikov-starykh-druzej-znakomykh
63-what-does-a-professional-private-detective-do,22-chastnyj-detektiv-intervyu
62-private-detective-a-thorny-path-to-the-profession,21-chastnyj-detektiv-ternistyj-put-k-professii
61-legal-verification-of-real-estate-car-detective-s-help,11-yuridicheskaya-proverka-nedvizhimosti-avtomobilya-pomoshch-detektiva
58-execution-of-delicate-assignments-by-a-private-detective-in-moscow,7-konfidentsialnoe-vypolnenie-poruchenij-chastnym-detektivom-v-moskve
60-information-on-criminal-and-civil-cases-private-detective-services,4-informatsiya-po-ugolovnym-grazhdanskim-delam-uslugi-chastnogo-detektiva